"All property types","All bedrooms","Stoneybatter, Dublin 7",1124.43,1055.43,967.15,928.64,915.82,929.13,1010.54,1115.99,1251.21,1371.31,1420.87
"All property types","All bedrooms","Dublin 8",1136.50,1041.93,939.14,907.65,916.83,963.04,1032.93,1121.40,1220.64,1335.78,1456.54
"All property types","All bedrooms","Christchurch, Dublin 8",1207.70,1049.63,938.73,912.34,923.13,960.44,1026.98,1136.18,1227.54,1361.90,1481.71
"All property types","All bedrooms","Cork Street, Dublin 8",1242.96,1118.31,990.60,943.20,952.08,1002.70,1075.33,1096.05,1175.27,1278.81,1370.95
"All property types","All bedrooms","Dolphins Barn, Dublin 8",0.00,1061.59,952.70,904.48,894.26,875.12,0.00,0.00,1136.18,0.00,0.00
"All property types","All bedrooms","Inchicore, Dublin 8",1166.23,1077.62,967.15,906.70,901.78,924.94,1027.67,1117.17,1209.75,1305.62,1362.11
"All property types","All bedrooms","Islandbridge, Dublin 8",1126.10,1055.02,965.83,1013.51,1071.31,1153.45,1254.12,1400.43,1531.77,1694.40,1798.88
"All property types","All bedrooms","Kilmainham , Dublin 8",1187.27,1093.23,1005.68,961.92,944.12,996.96,1078.49,1169.68,1274.00,1372.90,1488.55
"All property types","All bedrooms","Portobello, Dublin 8",1057.60,968.78,909.31,878.03,860.22,909.98,1003.44,1052.98,1179.11,1337.81,1396.95
"All property types","All bedrooms","Rialto, Dublin 8",1152.68,1016.56,900.10,885.34,891.75,938.15,1018.44,1100.23,1168.53,1268.05,1345.91
"All property types","All bedrooms","South Circular Road, Dublin 8",963.84,983.47,892.69,802.48,734.23,803.83,869.81,948.37,1052.52,1120.30,1274.81
"All property types","All bedrooms","The Coombe, Dublin 8",0.00,1070.54,931.40,902.77,931.17,961.03,1119.05,1177.73,1224.45,1268.20,1469.10
"All property types","All bedrooms","Dublin 9",1196.91,1093.14,975.13,932.87,957.41,1058.55,1187.47,1295.54,1338.63,1379.01,1476.81
"All property types","All bedrooms","Ballymun, Dublin 9",1083.75,939.97,801.31,773.60,771.21,775.62,846.40,984.73,1064.62,1144.49,1271.89
"All property types","All bedrooms","Beaumont, Dublin 9",1265.61,1132.64,984.58,944.15,962.89,1006.27,1070.77,1171.93,1268.65,1390.04,1519.37
"All property types","All bedrooms","Drumcondra, Dublin 9",1182.26,1093.99,1000.25,963.06,980.02,1039.49,1119.81,1226.38,1303.83,1401.39,1521.29
"All property types","All bedrooms","Glasnevin, Dublin 9",1072.70,1020.94,965.38,925.88,944.65,1402.20,1457.79,1185.45,1292.54,1385.59,1467.53
"All property types","All bedrooms","Santry, Dublin 9",1192.18,1097.15,952.31,891.71,928.21,1005.68,1104.02,1228.43,1340.46,1355.28,1437.37
"All property types","All bedrooms","Whitehall, Dublin 9",1359.11,1093.08,972.15,1000.28,1049.61,1042.00,1154.74,1227.78,1314.93,1442.81,1449.66
"All property types","All bedrooms","Dublin 10",1119.04,1036.11,924.46,867.09,870.94,890.01,917.09,971.48,1043.64,1125.02,1244.18
"All property types","All bedrooms","Ballyfermot, Dublin 10",1149.88,1052.16,947.33,904.10,901.09,902.95,913.21,967.28,1030.98,1115.50,1231.00
"All property types","All bedrooms","Cherry Orchard, Dublin 10",0.00,981.54,866.35,814.13,836.52,838.09,905.09,951.41,1009.25,1117.47,1252.03
"All property types","All bedrooms","Dublin 11",1166.02,1053.74,942.29,895.62,904.14,923.84,991.53,1078.24,1169.56,1246.09,1360.17
"All property types","All bedrooms","Ballymun, Dublin 11",1053.47,921.75,804.45,774.31,791.60,813.21,861.91,943.40,1035.72,1122.09,1234.46
"All property types","All bedrooms","Finglas, Dublin 11",1164.93,1057.28,946.40,894.35,890.23,912.65,978.15,1066.73,1163.50,1240.09,1359.59
"All property types","All bedrooms","Glasnevin, Dublin 11",1278.80,1157.89,1033.95,983.16,994.70,1020.60,1114.89,1191.01,1289.23,1336.91,1445.31
"All property types","All bedrooms","Meakstown, Dublin 11",1225.08,1113.18,1012.64,948.95,927.59,929.96,957.48,1023.42,1095.43,1174.56,1242.62
"All property types","All bedrooms","St Margarets Road, Dublin 11",1121.14,1060.04,976.63,937.96,950.14,965.15,1028.37,1120.85,1187.62,1234.11,1358.71
"All property types","All bedrooms","Dublin 12",1252.03,1132.96,1003.52,960.45,958.41,984.12,1054.26,1143.43,1238.56,1317.17,1393.09
