"All property types","All bedrooms","Ranelagh, Dublin 6",1210.78,1163.23,1072.55,1004.70,1033.23,1084.66,1186.68,1313.36,1393.99,1515.11,1635.60,1757.73
"All property types","All bedrooms","Rathgar, Dublin 6",1095.66,1041.82,962.16,907.16,886.90,930.46,1009.79,1123.49,1217.34,1324.22,1467.28,1530.49
"All property types","All bedrooms","Rathmines, Dublin 6",1021.38,942.90,874.40,858.56,847.49,871.55,935.89,1008.85,1095.85,1164.40,1243.06,1356.83
"All property types","All bedrooms","Terenure, Dublin 6",1201.81,1165.58,1080.17,1022.23,1011.29,1123.03,1228.88,1271.84,1375.82,1465.23,1482.64,1646.46
"All property types","All bedrooms","Dublin 6W",1306.68,1210.99,1122.57,1089.74,1079.10,1134.60,1225.00,1319.35,1410.36,1519.66,1631.95,1702.17
"All property types","All bedrooms","Harolds Cross, Dublin 6W",1259.90,1144.49,1058.22,1032.85,1012.67,1074.92,1179.88,1231.99,1283.27,1419.98,1468.77,1475.21
"All property types","All bedrooms","Templeogue, Dublin 6W",1406.01,1254.97,1184.72,1215.41,1243.56,1275.08,1301.18,1391.65,1568.72,1720.37,1776.15,1847.74
"All property types","All bedrooms","Terenure, Dublin 6W",1470.70,1339.04,1253.63,1191.45,1203.03,1268.82,1353.59,1449.86,1565.65,1690.48,1810.88,1915.79
"All property types","All bedrooms","Dublin 7",1071.60,996.66,909.09,857.56,843.56,875.54,955.30,1046.39,1123.79,1195.60,1283.38,1385.43
"All property types","All bedrooms","Arbour Hill, Dublin 7",0.00,1200.19,1085.51,1047.73,1091.28,1127.60,1194.17,1209.25,1272.32,1479.72,1545.85,1668.22
"All property types","All bedrooms","Cabra, Dublin 7",987.42,949.55,893.77,834.04,771.98,808.88,888.04,968.04,1056.10,1129.51,1228.94,1337.67
"All property types","All bedrooms","Navan Road, Dublin 7",1257.82,1156.67,1042.44,983.15,1000.98,1052.64,1117.62,1205.46,1318.67,1431.63,1537.10,1618.99
"All property types","All bedrooms","North Circular Road, Dublin 7",1046.95,1004.62,979.17,929.59,838.48,860.61,924.43,1038.88,1174.41,1228.84,1233.84,1343.92
"All property types","All bedrooms","Phibsboro, Dublin 7",923.69,881.15,821.65,770.59,760.52,791.06,869.57,929.65,965.57,1029.30,1089.97,1142.02
"All property types","All bedrooms","Smithfield, Dublin 7",1349.41,1215.29,1090.36,1009.23,989.56,1056.97,1189.81,1283.38,1362.29,1434.15,1550.32,1643.60
"All property types","All bedrooms","Stoneybatter, Dublin 7",1124.44,1055.44,967.16,928.64,915.82,928.90,1009.96,1121.00,1259.14,1378.41,1433.92,1493.84
"All property types","All bedrooms","Dublin 8",1135.97,1041.61,939.20,907.83,917.01,962.90,1032.64,1120.67,1220.26,1335.90,1456.05,1544.33
"All property types","All bedrooms","Christchurch, Dublin 8",1207.70,1048.24,935.37,908.56,920.91,960.44,1027.24,1136.45,1227.69,1364.13,1477.48,1573.48
"All property types","All bedrooms","Cork Street, Dublin 8",1242.96,1118.32,990.61,943.20,952.08,1002.70,1075.33,1095.33,1178.40,1278.53,1372.21,1460.20
"All property types","All bedrooms","Dolphins Barn, Dublin 8",0.00,1061.59,952.70,904.49,894.26,875.12,0.00,0.00,0.00,0.00,0.00,0.00
"All property types","All bedrooms","Inchicore, Dublin 8",1166.15,1077.65,967.03,906.68,902.02,925.41,1028.66,1116.80,1209.52,1306.57,1357.04,1416.12
"All property types","All bedrooms","Islandbridge, Dublin 8",1126.10,1055.02,965.83,1013.51,1071.32,1153.45,1254.12,1401.49,1534.19,1696.86,1798.86,1862.00
"All property types","All bedrooms","Kilmainham , Dublin 8",1187.27,1092.54,1004.75,961.83,946.81,997.66,1077.99,1170.85,1275.66,1374.45,1488.60,1551.17
"All property types","All bedrooms","Portobello, Dublin 8",1057.60,968.79,907.45,875.86,859.33,909.28,1002.84,1051.90,1170.51,1330.36,1403.00,1440.14
